key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im003705,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.608924,,,0.611863,0,0,35745,63057,
im004162,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.738280,,,0.784733,0,0,74381,74880,
im004163,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.709924,,,0.773800,0,0,62141,71982,
im004455,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",,,0.702486,,,0.777780,0,0,51703,79792,
im004512,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.682727,,,0.737391,0,0,55925,62936,
im004513,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",,,0.715650,,,0.763974,0,0,41486,69358,
im004515,main,unspecified,expert,1071,graded,"probabilities to native, bilinear, then thresholded",,,0.754875,,,0.830531,0,0,74838,71036,
im004516,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",,,0.749636,,,0.816705,0,0,62503,88645,
im004538,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, then thresholded",,,0.684305,,,0.753676,0,0,49194,68370,
im004539,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, then thresholded",,,0.704683,,,0.785138,0,0,41642,68562,
im004564,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.763763,,,0.849290,0,0,59321,53688,
im004790,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",,,0.635459,,,0.728804,0,0,63760,50026,
im004993,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",,,0.733262,,,0.805898,0,0,50974,76582,
im005024,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",,,0.732186,,,0.808031,0,0,75993,83275,
im005025,main,unspecified,expert,1072,graded,"probabilities to native, bilinear, then thresholded",,,0.731162,,,0.806444,0,0,65942,72080,
im005060,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",,,0.753096,,,0.828265,0,0,84998,76190,
im005092,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, then thresholded",,,0.746106,,,0.861798,0,0,80248,80202,
im005093,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",,,0.750809,,,0.854256,0,0,71618,88340,
im005132,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",,,0.750905,,,0.840308,0,0,78991,89126,
im005133,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",,,0.732200,,,0.818825,0,0,66246,109858,
im005190,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",,,0.702371,,,0.788182,0,0,63364,87523,
im005191,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",,,0.740329,,,0.840245,0,0,60401,97361,
im005249,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",,,0.731423,,,0.815114,0,0,53770,72662,
im005283,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",,,0.743943,,,0.840101,0,0,67911,70795,
