key,subset,split,native_side,reader,outcome,resampling,disc_dice,disc_centre_offset,disc_centre_offset_diameters,disc_width_error,disc_height_error,disc_radius_error,truth_disc_width,truth_disc_height,truth_disc_radius,note
test_bosch_p18_image1,bosch,test,1437,expert1,graded,"probabilities to native, bilinear, then thresholded",0.963855,4.250614,0.022795,2.000000,1.000000,2.043088,175.000000,203.000000,93.236490,
test_bosch_p18_image1,bosch,test,1437,expert2,graded,"probabilities to native, bilinear, then thresholded",0.937645,3.296992,0.016256,-11.000000,-8.000000,-6.131832,188.000000,212.000000,101.411410,
test_bosch_p18_image1,bosch,test,1437,expert3,graded,"probabilities to native, bilinear, then thresholded",0.952024,3.546106,0.017846,-11.000000,-6.000000,-4.072270,188.000000,210.000000,99.351847,
test_bosch_p18_image1,bosch,test,1437,expert4,graded,"probabilities to native, bilinear, then thresholded",0.928933,5.136354,0.025656,-11.000000,-16.000000,-4.822346,188.000000,220.000000,100.101924,
test_bosch_p18_image1,bosch,test,1437,expert5,graded,"probabilities to native, bilinear, then thresholded",0.962413,4.232507,0.021886,-10.000000,5.000000,-1.412707,187.000000,199.000000,96.692285,
test_bosch_p18_image2,bosch,test,1438,expert1,graded,"probabilities to native, bilinear, then thresholded",0.964916,3.735125,0.020133,-1.000000,3.000000,1.895386,176.000000,202.000000,92.762445,
test_bosch_p18_image2,bosch,test,1438,expert2,graded,"probabilities to native, bilinear, then thresholded",0.935272,5.293448,0.026380,-14.000000,-10.000000,-5.672782,189.000000,215.000000,100.330613,
test_bosch_p18_image2,bosch,test,1438,expert3,graded,"probabilities to native, bilinear, then thresholded",0.961910,2.528024,0.012946,-6.000000,-3.000000,-2.981204,181.000000,208.000000,97.639035,
test_bosch_p18_image2,bosch,test,1438,expert4,graded,"probabilities to native, bilinear, then thresholded",0.953884,4.256525,0.021574,-9.000000,-13.000000,-3.991488,184.000000,218.000000,98.649319,
test_bosch_p18_image2,bosch,test,1438,expert5,graded,"probabilities to native, bilinear, then thresholded",0.893803,7.766457,0.036876,-13.000000,-31.000000,-10.647818,188.000000,236.000000,105.305649,
